title;description;url;image;tags;category;featured

PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Brendan36/PDF_Writer.git;3.png;PDF;Productivity App;
PDF Invoices;A script that reads invoice records from structured Excel files and automatically generates PDF invoices.;https://github.com/Brendan36/Excel_Invoice_to_PDF.git;4.png;PDF;Productivity App;
Portfolio Website;That's this website built in Python to showcase coding projects and apps that I'm working on and towards completing.;https://github.com/Brendan36/Portfolio.git;2.png;Streamlit;Web App;
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Brendan36/Tour_Scraper.git;8.png;Scraping;Productivity App;
Visualizing Data;A program that visualizes the data collected from some of the more trusted sources utilized in the monitoring program.;https://example.com/;15.png;Data;Productivity App;
**| be |** connected ©;Internet Speed Analysis program that records the internet speed every few seconds and plots the values on the browser.;https://example.com/;13.png;Internet;Productivity App;
**| be |** educated © - v.1;Student Management System - A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Brendan36/Student_Manager_PyQt6.git;17.png;Desktop;Productivity App;
**| be |** educated © - v.2; School Management System - A desktop PyQt6 GUI app for managing **complex** university data with an SQL database backend.;https://github.com/Brendan36/Student_Manager_PyQt6.git;18.png;Desktop;Productivity App;
**| be |** in the know © - climate change API;A REST API built with Python and Flask to serve historical weather data for various cities, and to analyze the data to calculate the rate of climate change.;https://example.com/;6.png;API;AI;
**| be |** in the know © - monitoring;Monitoring Data - A program that monitors particular websites and periodically records the data to a remote server.;https://example.com/;14.png;Scraping;Productivity App;
**| be |** literate ©;Typing Analyzer - A program that monitors the computer keyboard and returns the most typed words of the session.;https://example.com/;12.png;Typing;Productivity App;
**| be |** observant ©;Webcam Motion Detector - A program that monitors the computer webcam and sends an email when a new object enters the view.;https://example.com/;11.png;CCTV;Security;
**| be |** organized ©;Download's Folder Cleaner - A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://example.com/;7.png;Automation;Productivity App;
**| be |** prepared 4 © - the weather;Visualizing Weather Forecast - A data web app that visualizes the weather forecast for the next five days of any city, compared the same day of the previous years, and forcast for the years to come.;https://example.com/;16.png;Weather;AI;
**| be |** productive ©;A distraction-free 'to-do' web app to help you create tasks so that you can focus on completing them.;https://github.com/Brendan36/To-Do-Web-App.git;1.png;Streamlit;Web App;
**| be |** my AI friend ©;Open Domain Chatbot - A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://example.com/;10.png;Chatbot;AI;
**| be |** my chatbot helper ©;A chatbot that knows about a specific topic and answers questions regarding that topic. (The focal point being sustainability.);https://example.com/;9.png;ChatbotAI;
**| be |** surrounded by good news ©;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://example.com/;5.png;API;AI;
**| be |** the restaurateur ©;A Django web app to let customers see a restaurant menu and meal availability, while highlighting the eco-friendly options.;https://github.com/Brendan36/Restaurateur.git;19.png;Django;Ecommerce;
**| be |** the smart consumer ©;Online Store - A Django online store app where users can place orders directly with sustainable products from sellers who are transparent about their sustainability practices.;https://example.com/;20.png;Django;Ecommerce;
**| be |** me ©;A data-driven platform designed to empower individuals to “be” their most informed, authentic selves. Through open-source verifiable statistics, it reveals the real-world impact of sustainability efforts and identifies hidden relationships between industries and regulators.;https://example.com/;planet_care.png;Sustainability;Social;
**| be |** fair ©;An ethical browser-based assistant that analyzes web and social media content in real-time, displaying truth probability, sentiment bias, and source transparency.;https://example.com/;fairy.png;AI;Environmental;
**| be |** money wise ©;A smart trading assistant focused on ethical, data-driven investment strategies. It evaluates companies and assets based on both financial returns and ESG impact.;https://example.com/;smart_money.png;Trading;Finance;
